__robert_name__,C3,C1,L4,L3,yield,yield_pred,yield_pred_sd,yield_pred_conformal_hw,Set
18,False,True,False,False,6,17.498281343817375,0.0,12.673566911186715,CV
19,False,True,False,False,8,17.498281343817375,0.0,12.673566911186715,CV
23,False,True,False,False,9,17.498281343817375,0.0,12.673566911186715,CV
16,False,False,False,False,21,33.21042601204991,0.0,12.673566911186715,CV
5,False,False,False,False,23,33.21042601204991,0.0,12.673566911186715,CV
11,True,False,False,False,27,53.99347782331337,0.0,12.673566911186715,CV
1,False,False,False,False,30,33.21042601204991,0.0,12.673566911186715,CV
0,False,False,False,False,37,33.21042601204991,0.0,12.673566911186715,CV
20,False,True,True,False,45,45.01485176091675,0.0,12.673566911186715,CV
22,False,True,False,False,47,17.498281343817375,0.0,12.673566911186715,CV
10,True,False,False,False,55,53.99347782331337,0.0,12.673566911186715,CV
12,False,False,False,False,55,33.21042601204991,0.0,12.673566911186715,CV
15,False,False,False,True,56,59.989172801439636,0.0,12.673566911186715,CV
6,True,False,False,False,57,53.99347782331337,0.0,12.673566911186715,CV
3,False,False,False,True,64,59.989172801439636,0.0,12.673566911186715,CV
14,False,False,True,False,65,68.98992642060938,0.0,12.673566911186715,CV
2,False,False,True,False,73,68.9899264206094,0.0,12.673566911186715,CV
9,True,False,False,True,76,76.01285913231195,0.0,12.673566911186715,CV
7,True,False,False,False,77,53.99347782331337,0.0,12.673566911186715,CV
17,False,False,False,False,19,33.21042601204991,5.579070368317105,12.673566911186715,Test
4,False,False,False,False,36,33.21042601204991,5.579070368317105,12.673566911186715,Test
13,False,False,False,False,51,33.21042601204991,5.579070368317105,12.673566911186715,Test
21,False,True,False,True,60,38.14572897816207,4.528427454292146,12.673566911186715,Test
8,True,False,True,False,69,85.89929715621157,7.4429980811119165,12.673566911186715,Test
